Movie Name,Director,Running Time,Country,Language,IMDB Rating,Genre,Number of votes,Plot,Cast,Release Year
The Shawshank Redemption,Frank Darabont,142,USA,English,9.3,Drama,"2,161,135","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",1994
The Godfather,Francis Ford Coppola,175,USA,English,9.2,Crime,"1,483,236",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",1972
The Godfather: Part II,Francis Ford Coppola,202,USA,English,9.0,Crime,"1,032,840","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro",1974
The Dark Knight,Christopher Nolan,152,USA,English,9.0,Action,"2,136,058","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",2008
12 Angry Men,Sidney Lumet,96,USA,English,8.9,Drama,"618,106",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall",1957
Schindler's List,Steven Spielberg,195,USA,English,8.9,Biography,"1,121,048","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",1994
The Lord of the Rings: The Return of the King,Peter Jackson,201,New Zealand,English,8.9,Adventure,"1,534,570",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Noel Appleby, Ali Astin, Sean Astin, David Aston",2003
Pulp Fiction,Quentin Tarantino,154,USA,English,8.9,Crime,"1,696,342","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta",1994
"The Good, the Bad and the Ugly",Sergio Leone,178,Italy,Italian,8.8,Western,"641,326",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffr√®",1967
Fight Club,David Fincher,139,USA,English,8.8,Drama,"1,726,585","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier",1999
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,178,New Zealand,English,8.8,Adventure,"1,549,833",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Alan Howard, Noel Appleby, Sean Astin, Sala Baker",2001
Forrest Gump,Robert Zemeckis,142,USA,English,8.8,Drama,"1,663,864","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.","Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys",1994
Inception,Christopher Nolan,148,USA,English,8.8,Action,"1,894,237",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",2010
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,124,USA,English,8.7,Action,"1,079,509","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1980
The Lord of the Rings: The Two Towers,Peter Jackson,179,New Zealand,English,8.7,Adventure,"1,388,087","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Bruce Allpress, Sean Astin, John Bach, Sala Baker",2002
The Matrix,Lana Wachowski,136,USA,English,8.7,Action,"1,555,467",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",1999
Joker,Todd Phillips,122,USA,English,8.8,Crime,"478,960","In Gotham City, mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: ""The Joker"".","Joaquin Phoenix, Robert De Niro, Zazie Beetz ",2019
One Flew Over the Cuckoo's Nest,Milos Forman,133,USA,English,8.7,Drama,"853,323","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown",1975
Goodfellas,Martin Scorsese,146,USA,English,8.7,Biography,"934,442","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",1990
Seven Samurai,Akira Kurosawa,207,Japan,Japanese,8.6,Action,"292,435",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Toshir√¥ Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",1956
Se7en,David Fincher,127,USA,English,8.6,Crime,"1,328,357","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa",1995
City of God,Fernando Meirelles,130,Brazil,Portuguese,8.6,Crime,"659,650","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva",2004
Life Is Beautiful,Roberto Benigni,116,Italy,Italian,8.6,Comedy,"571,205","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano",1999
The Silence of the Lambs,Jonathan Demme,118,USA,English,8.6,Crime,"1,170,635","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",1991
It's a Wonderful Life,Frank Capra,130,USA,English,8.6,Drama,"366,991",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",1947
Star Wars: Episode IV - A New Hope,George Lucas,121,USA,English,8.6,Action,"1,148,066","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",1977
Saving Private Ryan,Steven Spielberg,169,USA,English,8.6,Drama,"1,144,559","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper",1998
Spirited Away,Hayao Miyazaki,125,Japan,Japanese,8.6,Animation,"577,500","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Nait√¥",2003
The Green Mile,Frank Darabont,189,USA,English,8.6,Crime,"1,051,010","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt",1999
L√©on: The Professional,Luc Besson,110,USA,English,8.5,Action,"956,037","Mathilda, a 12-year-old girl, is reluctantly taken in by L√©on, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his prot√©g√©e and learns the assassin's trade.","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",1994
Interstellar,Christopher Nolan,169,USA,English,8.6,Adventure,"1,349,389",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",2014
Harakiri,Masaki Kobayashi,133,Japan,Japanese,8.7,Drama,"27,972","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Tatsuya Nakadai, Akira Ishihama, Shima Iwashita  |",1964
The Usual Suspects,Bryan Singer,106,USA,English,8.5,Crime,"929,054","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak",1995
The Lion King,Roger Allers,88,USA,English,8.5,Animation,"872,478","A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.","Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings",1994
American History X,Tony Kaye,119,USA,English,8.5,Drama,"974,478",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",1998
Parasite,Bong Joon Ho,132,South Korea,Korean,8.6,Comedy,"77,962","All unemployed, Ki-taek and his family take peculiar interest in the wealthy and glamorous Parks, as they ingratiate themselves into their lives and get entangled in an unexpected incident.","Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo ",2019
Back to the Future,Robert Zemeckis,116,USA,English,8.5,Adventure,"966,217","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",1985
The Pianist,Roman Polanski,150,UK,English,8.5,Biography,"665,756",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard",2003
Terminator 2: Judgment Day,James Cameron,137,USA,English,8.5,Action,"935,649","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",1991
Modern Times,Charles Chaplin,87,USA,English,8.5,Comedy,"198,161",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",1936
Psycho,Alfred Hitchcock,109,USA,English,8.5,Horror,"555,675","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","Anthony Perkins, Vera Miles, John Gavin, Janet Leigh",1960
The Intouchables,Olivier Nakache,112,France,French,8.5,Biography,"698,893","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Fran√ßois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",2011
Gladiator,Ridley Scott,155,USA,English,8.5,Action,"1,247,567",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",2000
City Lights,Charles Chaplin,87,USA,English,8.5,Comedy,"152,850","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia",1931
The Departed,Martin Scorsese,151,USA,English,8.5,Crime,"1,104,756",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",2006
Whiplash,Damien Chazelle,106,USA,English,8.5,Drama,"642,467",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",2014
Once Upon a Time in the West,Sergio Leone,165,Italy,Italian,8.5,Western,"279,463",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson",1969
The Prestige,Christopher Nolan,130,USA,English,8.5,Drama,"1,095,976","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo",2006
Casablanca,Michael Curtiz,102,USA,English,8.5,Drama,"488,055",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",1943
Grave of the Fireflies,Isao Takahata,89,Japan,Japanese,8.5,Animation,"206,203",A young boy and his little sister struggle to survive in Japan during World War II.,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi",1989
Rear Window,Alfred Hitchcock,112,USA,English,8.4,Mystery,"410,774",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",1954
Cinema Paradiso,Giuseppe Tornatore,155,Italy,Italian,8.5,Drama,"208,721",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta",1990
Alien,Ridley Scott,117,UK,English,8.4,Horror,"734,061","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",1979
Raiders of the Lost Ark,Steven Spielberg,115,USA,English,8.4,Action,"831,197","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",1981
Memento,Christopher Nolan,113,USA,English,8.4,Mystery,"1,053,443",A man with short-term memory loss attempts to track down his wife's murderer.,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",2001
Avengers: Endgame,Anthony Russo,181,USA,English,8.5,Action,"605,580","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Robert Downey Jr., Chris Evans, Mark Ruffalo",2019
Apocalypse Now,Francis Ford Coppola,147,USA,English,8.4,Drama,"563,651",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest",1979
The Great Dictator,Charles Chaplin,125,USA,English,8.5,Comedy,"186,776",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell",1941
The Lives of Others,Florian Henckel von Donnersmarck,137,Germany,German,8.4,Drama,"332,053","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Martina Gedeck, Ulrich M√ºhe, Sebastian Koch, Ulrich Tukur",2007
Django Unchained,Quentin Tarantino,165,USA,English,8.4,Drama,"1,250,190","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",2012
Avengers: Infinity War,Anthony Russo,149,USA,English,8.5,Action,"726,260",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",2018
The Shining,Stanley Kubrick,146,UK,English,8.4,Drama,"816,798","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",1980
Paths of Glory,Stanley Kubrick,88,USA,English,8.4,Drama,"161,960","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready",1957
Spider-Man: Into the Spider-Verse,Bob Persichetti,117,USA,English,8.4,Animation,"276,558","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.","Shameik Moore, Jake Johnson, Hailee Steinfeld",2018
WALL¬∑E,Andrew Stanton,98,USA,English,8.4,Animation,"931,960","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",2008
Sunset Blvd.,Billy Wilder,110,USA,English,8.4,Drama,"184,926",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"William Holden, Gloria Swanson, Erich von Stroheim",1950
Princess Mononoke,Hayao Miyazaki,134,Japan,Japanese,8.4,Animation,"304,382","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio",1997
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,95,USA,English,8.4,Comedy,"424,207",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",1964
Oldboy,Chan-wook Park,120,South Korea,Korean,8.4,Action,"472,816","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji",2003
Witness for the Prosecution,Billy Wilder,116,USA,English,8.4,Crime,"96,471",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",1958
The Dark Knight Rises,Christopher Nolan,164,UK,English,8.4,Action,"1,422,358","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",2012
Once Upon a Time in America,Sergio Leone,229,USA,English,8.4,Crime,"286,118","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci",1984
Aliens,James Cameron,137,USA,English,8.4,Action,"614,675","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",1986
American Beauty,Sam Mendes,122,USA,English,8.3,Drama,"1,009,925",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",1999
Your Name.,Makoto Shinkai,106,Japan,Japanese,8.4,Animation,"148,738","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita",2017
Coco,Lee Unkrich,105,USA,English,8.4,Animation,"306,320","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt",2017
Braveheart,Mel Gibson,178,USA,English,8.3,Biography,"909,420","When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.","James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",1995
Das Boot,Wolfgang Petersen,149,West Germany,German,8.3,Adventure,"216,090","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.","J√ºrgen Prochnow, Herbert Gr√∂nemeyer, Klaus Wennemann, Hubertus Bengsch",1982
3 Idiots,Rajkumar Hirani,170,India,Hindi,8.4,Comedy,"311,198","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor Khan",2009
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,131,USA,English,8.3,Action,"883,414","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1983
