Movie Name,Director,Cast,Plot,Genre
Taare Zameen Par,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Drama
Toy Story,John Lasseter,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,Animation
Reservoir Dogs,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Crime
Amadeus,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Biography
Inglourious Basterds,Quentin Tarantino,"Brad Pitt, M√©lanie Laurent, Christoph Waltz, Eli Roth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Adventure
Good Will Hunting,Gus Van Sant,"Matt Damon, Ben Affleck, Stellan Skarsg√•rd, John Mighton","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Drama
M,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Crime
Dangal,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Action
Requiem for a Dream,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama
2001: A Space Odyssey,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Adventure
Vertigo,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,Mystery
Eternal Sunshine of the Spotless Mind,Michel Gondry,"Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Drama
Citizen Kane,Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick","Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Drama
The Hunt,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstr√∏m","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Drama
Full Metal Jacket,Stanley Kubrick,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Drama
North by Northwest,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Adventure
A Clockwork Orange,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Crime
Snatch,Guy Ritchie,"Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Comedy
The Kid,Charles Chaplin,"Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Comedy
Am√©lie,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta","Am√©lie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Comedy
Bicycle Thieves,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri","In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Drama
Scarface,Brian De Palma,"Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Crime
Singin' in the Rain,Stanley Donen,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",A silent film production company and cast make a difficult transition to sound.,Comedy
Taxi Driver,Martin Scorsese,"Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Crime
Lawrence of Arabia,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Adventure
Toy Story 3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Animation
The Sting,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",Two grifters team up to pull off the ultimate con.,Comedy
Metropolis,Fritz Lang,"Alfred Abel, Gustav Fr√∂hlich, Rudolf Klein-Rogge, Fritz Rasp","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",Drama
For a Few Dollars More,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volont√®, Mario Brega",Two bounty hunters with the same intentions team up to track down a Western outlaw.,Western
Ikiru,Akira Kurosawa,"Takashi Shimura, Shin'ichi Himori, Haruo Tanaka, Minoru Chiaki",A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Drama
A Separation,Asghar Farhadi,"Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Drama
Double Indemnity,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Crime
To Kill a Mockingbird,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Crime
Capharna√ºm,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama
Indiana Jones and the Last Crusade,Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Action
The Apartment,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Comedy
Up,Pete Docter,"Edward Asner, Jordan Nagai, John Ratzenberger","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Animation
L.A. Confidential,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell","As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.",Crime
Incendies,Denis Villeneuve,"Mustafa Kamel, Hussein Sami, R√©my Girard, M√©lissa D√©sormeaux-Poulin",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Drama
Monty Python and the Holy Grail,Terry Gilliam,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Adventure
Heat,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Crime
Rash√¥mon,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Crime
Die Hard,John McTiernan,"Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason",An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Action
Batman Begins,Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Action
Yojimbo,Akira Kurosawa,"Toshir√¥ Mifune, Tatsuya Nakadai, Y√¥ko Tsukasa, Isuzu Yamada",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Action
Unforgiven,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris","Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett).",Drama
Green Book,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Biography
Downfall,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Biography
Children of Heaven,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Drama
Some Like It Hot,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Comedy
Howl's Moving Castle,Hayao Miyazaki,"Chieko Baish√¥, Takuya Kimura, Akihiro Miwa, Tatsuya Gash√ªin","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Animation
The Great Escape,John Sturges,"Steve McQueen, James Garner, Richard Attenborough, James Donald",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,Adventure
My Neighbor Totoro,Hayao Miyazaki,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Animation
Ran,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Action
A Beautiful Mind,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Biography
All About Eve,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",An ing√©nue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,Drama
Pan's Labyrinth,Guillermo del Toro,"Ivana Baquero, Sergi L√≥pez, Maribel Verd√∫, Doug Jones","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Drama
Come and See,Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Drama
Casino,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",Crime
The Secret in Their Eyes,Juan Jos√© Campanella,"Soledad Villamil, Ricardo Dar√≠n, Carla Quevedo, Pablo Rago",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Drama
Raging Bull,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Biography
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",Comedy
The Wolf of Wall Street,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Biography
The Treasure of the Sierra Madre,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,Adventure
Judgment at Nuremberg,Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Drama
Babam ve Oglum,√áagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra",The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,Drama
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell ",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Comedy
Chinatown,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Drama
The Gold Rush,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",A prospector goes to the Klondike in search of gold and finds it and more.,Adventure
Dial M for Murder,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings, John Williams",A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.,Crime
There Will Be Blood,Paul Thomas Anderson,"Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama
V for Vendetta,James McTeigue,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",Action
Inside Out,Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Animation
The Seventh Seal,Ingmar Bergman,"Gunnar Bj√∂rnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow","A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Drama
Drishyam,Jeethu Joseph,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor",A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Crime
Warrior,Gavin O'Connor,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Drama
No Country for Old Men,Ethan Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Crime
Trainspotting,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama
Room,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Drama
The Elephant Man,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous fa√ßade, there is revealed a person of kindness, intelligence and sophistication.",Biography
The Sixth Sense,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",A boy who communicates with spirits seeks the help of a disheartened child psychologist.,Drama
Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Mystery
The Thing,John Carpenter,"Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Horror
Gone with the Wind,Victor Fleming,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Drama
Andhadhun,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte","A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Crime
